Student number;Final exam Mark;Points;Midterm exam mark;Points;Final grade;Fresh connection (before midterm);Fresh connection Final exam;Fresh connection Final exam
303;3,5;15,0;5,9;25,0;4,7;0;0;0
304;5,2;22,0;5,9;25,0;5,55;0;0;0
305;6,4;27,0;6,6;28,0;6,5;0;0;0
306;5,4;23,0;6,9;29,0;6,15;1;0;1
307;6,6;28,0;5,2;22,0;5,9;1;0;1
308;0;0;;;0;0;0;0
309;5,0;21,0;5,0;21,0;5;0;0;0
310;0;0;3,8;16,0;1,9;1;0;1
311;1,0;0,0;3,8;16,0;2,4;0;0;0
312;7,6;32,0;6,9;29,0;7,25;0;0;0
313;5,4;23,0;6,9;29,0;6,15;1;0;1
314;2,8;12,0;4,2;18,0;3,5;0;0;0
315;3,3;14,0;6,1;26,0;4,7;0;0;0
316;5,9;25,0;5,2;22,0;5,55;1;0;1
317;5,0;21,0;5,7;24,0;5,35;1;0;1
318;6,4;27,0;5,0;21,0;5,7;1;0;1
319;7,0;29,5;5,1;21,5;6,05;0;0;0
320;5,2;22,0;8,0;34,0;6,6;1;1;1
321;6,5;27,5;5,7;24,0;6,1;1;0;1
322;0;0;0;0;0;0;0;0
323;6,1;26,0;7,1;30,0;6,6;1;1;1
324;1,0;2,0;0;0;0;0;0;0
325;0;0;0;0;0;0;0;0
326;6,4;27,0;6,6;28,0;6,5;1;0;1
327;2,7;11,5;3,9;16,5;3,3;0;0;0
328;1,0;1,0;3,0;13,0;2;0;0;0
329;3,8;16,0;2,3;10,0;3,05;0;0;0
330;5,0;21,0;7,3;31,0;6,15;1;1;1
331;0;0;3,6;15,5;1,8;0;0;0
332;4,2;18,0;5,0;21,0;4,6;1;0;1
333;4,2;18,0;5,4;23,0;4,8;1;1;1
334;0;0;4,2;18;2,1;1;0;1
335;0;0;4,5;19,0;2,25;0;0;0
336;0;0;1,9;8,0;0,95;0;0;0
337;0;0;;;0;1;0;1
338;0;0;0;0;0;0;0;0
339;0;0;2,3;10,0;1,15;0;0;0
340;0;0;4,0;17,0;2;1;0;1
341;7,2;30,5;7,8;33,0;7,5;0;0;0
342;6,1;26,0;5,0;21,0;5,55;1;0;1
343;0;0;4,2;18,0;2,1;1;0;1
344;2,3;10,0;5,8;24,5;4,05;0;0;0
345;0;0;0;0;0;0;0;0
346;0;0;0;0;0;0;0;0
347;5,9;25,0;7,6;32,0;6,75;0;0;0
348;0;0;2,9;12,5;1,45;0;0;0
349;6,4;27,0;7,8;33,0;7,1;1;1;1
350;3,8;16,0;6,1;26,0;4,95;0;0;0
